
[00:59:44] [INFO] Based on GWA2
[00:59:44] [INFO] GWA2 - Created by: GameRevision Community
[00:59:44] [INFO] GWA2 - Build date: approximately 2007

[00:59:44] [INFO] GwAu3 - Created by: Jag-Gw Community
[00:59:44] [INFO] GwAu3 - Build date: 2025-05-21
[00:59:44] [INFO] GwAu3 - Version: 1.0
[00:59:44] [INFO] GwAu3 - Last Update: 2025-06-17

[01:00:03] [STATUS] Survivor mode enabled.
[01:00:03] [STATUS] Discarding Purples.
[01:00:03] [STATUS] Keeping Collectors materials.
[01:00:03] [STATUS] Sending to level 20.
[01:00:03] [INFO] Starting farm: Smart Cast Test
[01:00:08] [INFO] Summoning stone found!
[01:00:09] [INFO] We are not in Ashford Abbey. Teleporting to Ashford...
[01:00:17] [INFO] Mhenlo's smiling, Meerak's humming, and I'm picking red irises..
[01:00:48] [WARN] Fighting enemies with SmartCast!
[01:00:59] [WARN] Fighting enemies with SmartCast!
[01:01:05] [WARN] Fighting enemies with SmartCast!
[01:01:06] [WARN] Fighting enemies with SmartCast!
[01:01:07] [WARN] Fighting enemies with SmartCast!
[01:01:08] [WARN] Fighting enemies with SmartCast!
[01:01:08] [WARN] Fighting enemies with SmartCast!
[01:01:09] [WARN] Fighting enemies with SmartCast!
[01:01:10] [WARN] Fighting enemies with SmartCast!
[01:01:10] [WARN] Fighting enemies with SmartCast!
[01:01:11] [WARN] Fighting enemies with SmartCast!
[01:01:12] [WARN] Fighting enemies with SmartCast!
[01:01:12] [WARN] Fighting enemies with SmartCast!
[01:01:13] [WARN] Fighting enemies with SmartCast!
[01:01:14] [WARN] Fighting enemies with SmartCast!
[01:01:15] [WARN] Fighting enemies with SmartCast!
[01:01:15] [WARN] Fighting enemies with SmartCast!
[01:01:16] [WARN] Fighting enemies with SmartCast!
[01:01:17] [WARN] Fighting enemies with SmartCast!
[01:01:17] [WARN] Fighting enemies with SmartCast!
[01:01:18] [WARN] Fighting enemies with SmartCast!
[01:01:19] [WARN] Fighting enemies with SmartCast!
[01:01:19] [WARN] Fighting enemies with SmartCast!
[01:01:20] [WARN] Fighting enemies with SmartCast!
[01:01:21] [WARN] Fighting enemies with SmartCast!
[01:01:21] [WARN] Fighting enemies with SmartCast!
[01:01:22] [WARN] Fighting enemies with SmartCast!
[01:01:23] [WARN] Fighting enemies with SmartCast!
[01:02:27] [WARN] Fighting enemies with SmartCast!
[01:02:35] [WARN] Fighting enemies with SmartCast!
[01:02:37] [WARN] Fighting enemies with SmartCast!
[01:02:37] [WARN] Fighting enemies with SmartCast!
[01:02:38] [WARN] Fighting enemies with SmartCast!
[01:02:39] [WARN] Fighting enemies with SmartCast!
[01:02:40] [WARN] Fighting enemies with SmartCast!
[01:02:40] [WARN] Fighting enemies with SmartCast!
[01:02:41] [WARN] Fighting enemies with SmartCast!
[01:02:57] [WARN] Fighting enemies with SmartCast!
[01:03:17] [WARN] Fighting enemies with SmartCast!
[01:03:19] [WARN] Fighting enemies with SmartCast!
[01:03:19] [WARN] Fighting enemies with SmartCast!
[01:03:20] [WARN] Fighting enemies with SmartCast!
[01:03:21] [WARN] Fighting enemies with SmartCast!
[01:03:27] [WARN] Fighting enemies with SmartCast!
[01:03:28] [WARN] Fighting enemies with SmartCast!
[01:03:28] [WARN] Fighting enemies with SmartCast!
[01:03:29] [WARN] Fighting enemies with SmartCast!
[01:03:30] [WARN] Fighting enemies with SmartCast!
